COUNTRY,INDICATOR,FREQUENCY,SCALE,year,value
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2018,32.621
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,6.998
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,2.806
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-2.963
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-0.353
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,0.596
Sri Lanka,Unemployment rate,Annual,Units,2018,4.4
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,2.31
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2018,30.152
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2018,51.536
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2018,29.86
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-1.704
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2018,34.294
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2018,35.349
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-3.101
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,5.783
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-2.977
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2018,12.95
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-2.808
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,1.784
France,Unemployment rate,Annual,Units,2018,9.025
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,1.587
France,"Gross debt, General government, Percent of GDP",Annual,Units,2018,98.49
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-0.609
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-0.698
France,"Expenditure, General government, Percent of GDP",Annual,Units,2018,56.369
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,1.935
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,8.428
Germany,Unemployment rate,Annual,Units,2018,3.208
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,1.116
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-2.116
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,6.454
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,3.414
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,0.827
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,1.243
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,2.501
Italy,Unemployment rate,Annual,Units,2018,10.6
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-1.678
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,3.528
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,0.989
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,0.643
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2018,36.739
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2018,232.38
Japan,Unemployment rate,Annual,Units,2018,2.433
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,4.596
South Africa,Unemployment rate,Annual,Units,2018,27.125
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-2.929
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,1.557
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,16.332
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,3.013
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-1.831
"Türkiye, Republic of",Unemployment rate,Annual,Units,2018,10.9
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-3.927
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2018,38.871
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-0.582
United Kingdom,Unemployment rate,Annual,Units,2018,4.075
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,1.405
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,2.478
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,2.967
United States,Unemployment rate,Annual,Units,2018,3.892
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,2.439
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-2.129
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,2.099
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,6.759
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2018,86.345
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-1.671
India,"Gross debt, General government, Percent of GDP",Annual,Units,2018,70.392
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-1.272
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,3.665
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2019,20.54
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2019,82.594
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,4.47
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2019,13.748
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2019,19.453
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2019,7.882
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2019,31.951
Bangladesh,Unemployment rate,Annual,Units,2019,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,-3.714
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,4.304
Brazil,Unemployment rate,Annual,Units,2019,11.975
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,-0.083
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2019,87.118
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2019,43.043
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,2.905
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2019,0.706
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2019,6.562
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2019,59.441
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,-5.166
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2019,33.609
"China, People's Republic of",Unemployment rate,Annual,Units,2019,5.15
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2019,108.197
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,1.919
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2019,45.563
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2019,58.701
India,"Expenditure, General government, Percent of GDP",Annual,Units,2019,26.846
India,Unemployment rate,Annual,Units,2019,7.484
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,1.738
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2019,133.823
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2019,48.424
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2019,-2.238
Myanmar,Unemployment rate,Annual,Units,2019,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,9.074
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2019,38.295
Russian Federation,Unemployment rate,Annual,Units,2019,4.6
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,2.2
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2019,33.752
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2019,3.872
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2019,2.198
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2019,-2.071
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,-1.506
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,-1.854
Sri Lanka,Unemployment rate,Annual,Units,2019,4.8
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2019,-0.22
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2019,31.394
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2019,56.101
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2019,32.39
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,-2.962
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2019,35.515
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2019,35.819
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,-3.528
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,5.475
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2019,-1.278
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2019,13.552
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2019,-3.47
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2019,1.221
France,Unemployment rate,Annual,Units,2019,8.425
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2019,2.076
France,"Gross debt, General government, Percent of GDP",Annual,Units,2019,98.104
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2019,-0.918
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2019,0.597
France,"Expenditure, General government, Percent of GDP",Annual,Units,2019,55.345
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,1.354
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2019,7.878
Germany,Unemployment rate,Annual,Units,2019,2.975
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2019,0.993
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2019,-0.866
